,Unnamed: 0,x_noise,y_noise,z_noise,Success,trans_err,quat_dist
0,0,0.0,0.0,0.0,True,0.0,0.0
1,1,-0.01,0.01,0.0,True,-0.01414213562373095,0.0
2,2,0.01,0.01,0.0,True,0.01414213562373095,0.0
3,3,0.02,0.02,0.0,True,0.0282842712474619,0.0
4,4,-0.02,0.02,0.0,False,-0.0282842712474619,0.0
5,5,0.0,0.02,0.0,True,0.0,0.0
6,6,-0.01,0.02,0.0,True,-0.022360679774997897,0.0
7,7,0.01,0.02,0.0,True,0.022360679774997897,0.0
8,8,0.0,0.025,0.0,False,0.0,0.0
0,0,-0.02,0.0175,0.0,False,-0.026575364531836624,0.0
1,1,-0.02,0.0275,0.0,False,-0.03400367627183861,0.0
2,2,-0.01,0.0275,0.0,False,-0.029261749776799063,0.0
3,3,0.0,0.0275,0.0,False,0.0,0.0
4,4,0.01,0.0225,0.0,True,0.02462214450449026,0.0
5,5,0.005,0.025,0.0,True,0.025495097567963927,0.0
6,6,0.015,0.02,0.0,True,0.025,0.0
7,7,0.02,0.0175,0.0,True,0.026575364531836624,0.0
0,0,0.0,0.025,0.0,True,0.0,0.0
1,1,0.01,0.025,0.0,True,0.026925824035672525,0.0
2,2,0.02,0.025,0.0,True,0.032015621187164243,0.0
3,3,-0.01,0.025,0.0,False,-0.026925824035672525,0.0
4,4,-0.02,0.025,0.0,False,-0.032015621187164243,0.0
5,5,-0.02,0.015,0.0,False,-0.025,0.0
6,6,0.02,0.015,0.0,True,0.025,0.0
7,7,-0.025,0.025,0.0,False,-0.03535533905932738,0.0
8,8,-0.02,0.0175,0.0,True,-0.026575364531836624,0.0
0,0,-0.01,0.01,0.0,True,-0.01414213562373095,0.0
1,1,0.01,0.01,0.0,True,0.01414213562373095,0.0
2,2,0.02,0.02,0.0,True,0.0282842712474619,0.0
3,3,-0.02,0.02,0.0,True,-0.0282842712474619,0.0
4,4,0.0,0.02,0.0,True,0.0,0.0
5,5,-0.01,0.02,0.0,True,-0.022360679774997897,0.0
6,6,0.01,0.02,0.0,True,0.022360679774997897,0.0
7,7,0.0,0.025,0.0,True,0.0,0.0
8,8,0.01,0.025,0.0,False,0.026925824035672525,0.0
9,9,0.02,0.025,0.0,False,0.032015621187164243,0.0
10,10,-0.01,0.025,0.0,True,-0.026925824035672525,0.0
11,11,-0.02,0.025,0.0,False,-0.032015621187164243,0.0
12,12,-0.02,0.015,0.0,True,-0.025,0.0
13,13,0.02,0.015,0.0,True,0.025,0.0
14,14,-0.025,0.025,0.0,False,-0.03535533905932738,0.0
15,15,-0.02,0.0175,0.0,True,-0.026575364531836624,0.0
16,16,-0.02,0.0275,0.0,False,-0.03400367627183861,0.0
17,17,-0.01,0.0275,0.0,False,-0.029261749776799063,0.0
0,0,0.02,0.0175,0.0,True,0.026575364531836624,0.0
0,0,0.0,0.0275,0.0,False,0.0,0.0
1,1,0.01,0.0225,0.0,True,0.02462214450449026,0.0
2,2,0.005,0.025,0.0,True,0.025495097567963927,0.0
3,3,0.015,0.02,0.0,True,0.025,0.0
4,4,0.02,0.0175,0.0,False,0.026575364531836624,0.0
0,0,0.0,0.0,0.0,True,0.0,0.0
1,1,-0.01,0.01,0.0,False,-0.01414213562373095,0.0
0,0,0.0,0.0,0.0,True,0.0,0.0
1,1,-0.01,0.01,0.0,True,-0.01414213562373095,0.0
2,2,0.01,0.01,0.0,True,0.01414213562373095,0.0
3,3,0.02,0.02,0.0,False,0.0282842712474619,0.0
4,4,-0.02,0.02,0.0,True,-0.0282842712474619,0.0
5,5,0.0,0.02,0.0,True,0.0,0.0
6,6,-0.01,0.02,0.0,True,-0.022360679774997897,0.0
7,7,0.01,0.02,0.0,False,0.022360679774997897,0.0
8,8,0.0,0.025,0.0,False,0.0,0.0
9,9,0.01,0.025,0.0,False,0.026925824035672525,0.0
10,10,0.02,0.025,0.0,False,0.032015621187164243,0.0
0,0,0.02,0.0175,0.0,False,0.026575364531836624,0.0
0,0,-0.01,0.025,0.0,True,-0.026925824035672525,0.0
1,1,-0.02,0.025,0.0,True,-0.032015621187164243,0.0
2,2,-0.02,0.015,0.0,True,-0.025,0.0
3,3,0.02,0.015,0.0,True,0.025,0.0
4,4,-0.025,0.025,0.0,False,-0.03535533905932738,0.0
5,5,-0.02,0.0175,0.0,True,-0.026575364531836624,0.0
0,0,-0.02,0.0275,0.0,False,-0.03400367627183861,0.0
1,1,-0.01,0.0275,0.0,True,-0.029261749776799063,0.0
2,2,0.0,0.0275,0.0,False,0.0,0.0
3,3,0.01,0.0225,0.0,False,0.02462214450449026,0.0
4,4,0.005,0.025,0.0,False,0.025495097567963927,0.0
5,5,0.015,0.02,0.0,False,0.025,0.0
